"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","gene","sig"
"AQP4",5.57790459186951e-175,2.56433749570054,0.138,0.729,1.47730803115664e-170,0.493243243243243,9,0.436450839328537,9,"AQP4","p_val_adj<0.05"
"SFTPD",2.83156904927597e-110,2.17010834599248,0.194,0.747,7.49941062700742e-106,0.682692307692308,9,0.405152224824356,8,"SFTPD","p_val_adj<0.05"
"CLDN18",1.40234639213077e-123,2.09028523826941,0.026,0.43,3.71411441955833e-119,0.357142857142857,7,0.735772357723577,8,"CLDN18","p_val_adj<0.05"
"RGS16",4.88957292487488e-187,1.84355973451905,0.327,0.815,1.29500338915311e-182,0.512820512820513,11,0.388412017167382,8,"RGS16","p_val_adj<0.05"
"SFTPC",2.20189673977405e-38,1.80328194374904,0.037,0.278,5.83172351529156e-34,0.25,10,0.49685534591195,6,"SFTPC","p_val_adj<0.05"
"AGER",1.10469871343776e-106,1.78054151246306,0.066,0.465,2.9257945425399e-102,0.492957746478873,10,0.642857142857143,7,"AGER","p_val_adj<0.05"
"C1orf116",4.07379897620084e-187,1.64970974181031,0.384,0.92,1.07894565884679e-182,0.366504854368932,11,0.355513307984791,9,"C1orf116","p_val_adj<0.05"
"SUSD2",2.29551871415737e-193,1.61064971988607,0.108,0.823,6.07968131444579e-189,0.456896551724138,10,0.37791932059448,8,"SUSD2","p_val_adj<0.05"
"SCGB3A1",4.35168266244231e-91,1.4657403897749,0.281,0.792,1.15254315314785e-86,0.599337748344371,11,0.381898454746137,7,"SCGB3A1","p_val_adj<0.05"
"MSLN",1.44932548165842e-54,1.46414385695314,0.18,0.689,3.83853853817234e-50,0.507772020725389,9,0.461928934010152,7,"MSLN","p_val_adj<0.05"
"CAV1",2.27413474304807e-109,1.43119116190645,0.116,0.556,6.02304586696281e-105,0.467741935483871,12,0.518867924528302,8,"CAV1","p_val_adj<0.05"
"CPM",1.44862014806187e-108,1.41841148799995,0.303,0.858,3.83667046214188e-104,0.516923076923077,12,0.362525458248472,10,"CPM","p_val_adj<0.05"
"HLA-DPB1",4.34131638155292e-75,1.38652563012706,0.479,0.858,1.14979764365429e-70,0.40272373540856,12,0.34826883910387,8,"HLA-DPB1","p_val_adj<0.05"
"EFNA1",2.78545547238415e-121,1.38557861260792,0.747,0.946,7.37727881860942e-117,0.3458177278402,12,0.353049907578558,9,"EFNA1","p_val_adj<0.05"
"CADM1",7.70784178845035e-158,1.37895235286323,0.159,0.766,2.04142189767108e-153,0.421052631578947,12,0.383561643835616,8,"CADM1","p_val_adj<0.05"
"C3",3.3580000124156e-35,1.28098757919598,0.401,0.726,8.89366303288272e-31,0.434883720930233,12,0.412048192771084,8,"C3","p_val_adj<0.05"
"EMP2",1.22682754949467e-89,1.26695770304174,0.83,0.976,3.24925276483664e-85,0.34006734006734,12,0.344086021505376,9,"EMP2","p_val_adj<0.05"
"ATP13A4",1.7163054849602e-122,1.24626281178509,0.375,0.867,4.54563507691709e-118,0.465174129353234,10,0.360887096774194,8,"ATP13A4","p_val_adj<0.05"
"HSD17B6",4.595176041291e-71,1.17200724617585,0.089,0.493,1.21703237453592e-66,0.715789473684211,11,0.439716312056738,8,"HSD17B6","p_val_adj<0.05"
"HLA-DMA",1.38117364438513e-54,1.16699450546937,0.606,0.909,3.65803839715401e-50,0.384615384615385,12,0.336538461538462,9,"HLA-DMA","p_val_adj<0.05"
