"17-10-20"	"8-7-2-23-22-11-27-18-13-3-5"	"26"	"25"	"24"	"21"	"19"	"16"	"15"	"14"	"12"	"9"	"4"	"6"
"1"	58.25	7.53	0	0	15.35	0	2.62	0	0	7.79	0	2.04	0	6.43
"2"	39.28	5.81	5.68	5.44	4.6	5	4.54	3.86	5.51	5.03	6.22	2.89	4.42	1.72
"3"	71	17.25	0	0	7.97	0	0	0	0	0	0	0.56	0	3.23
"4"	33.88	2.26	6.41	6.35	6.03	6.18	4.86	4.71	6.64	5.79	5.53	3.77	5.32	2.28
"5"	41.55	3.74	5.68	5.82	4.85	5.33	3.94	4.01	5.84	5.56	4.91	3.22	4.61	0.94
"6"	11.02	6.63	7.72	7.57	6.83	9.07	4.01	9.32	8.14	6.33	6.64	4	7.42	5.3
"7"	78.99	11.97	0	0	0	0	0	0	0	0	0.89	0	0	8.15
"8"	5.45	9.29	5.86	6.19	6.61	7.69	2.59	9.89	6.81	4.2	4.83	3.53	12.79	14.25
"9"	65.15	27.24	0	0	0.53	0	0	0	0	0	2.97	4.11	0	0
"10"	21.9	35.42	4.65	4.51	4.36	3.49	3.9	2.07	4.68	6.72	3.73	1.39	3.18	0
"11"	89.07	6.99	0	0	0	0	0	0	0	0	0	0.82	0	3.13
"12"	89.2	0	1.07	1.09	2.13	2.16	0.22	0.76	1.21	0.75	0.47	0.08	0.85	0
"13"	40.95	48.95	0	0	7.59	0	0	0	0	0	0	0	0	2.51
"14"	41.22	18.03	2.48	3.75	2.21	1.47	0.96	1.39	2.28	1.71	13.82	5.02	2.6	3.06
"15"	26.25	11.3	6.37	6.97	5.67	5.71	4.21	5.55	6.44	5.41	5.51	4.28	5.17	1.16
"16"	49.92	5.75	2.72	2.9	2.57	2.09	11.32	1.22	2.82	1.83	1.59	0.23	1.85	13.2
"17"	54.86	0	4.73	4.69	4.19	4.6	2.82	3.49	4.95	4.25	3.95	2.75	3.93	0.79
"18"	44.47	6.72	4.49	4.28	4.12	6.51	2.25	2.86	4.6	3.89	3.4	2.08	3.4	6.94
"19"	57.22	0	4.25	4.14	3.93	4.17	3.24	3.51	4.37	4.19	3.46	2.3	3.45	1.77
"20"	59.5	1.58	4	4.09	3.03	3.64	2.32	2.8	4.05	3.84	4.73	2.66	3.32	0.44
"21"	71.33	27.05	0	0	0	0	0	0	0	0	0	0	0	1.61
"22"	3.72	27.31	9.72	24.46	4.21	2.11	3.1	1.38	3.01	2.39	3.07	10.41	2.4	2.72
"23"	34.48	2.14	5.97	5.72	5.17	11.27	4.13	4.44	6.03	5.35	4.86	3.33	4.85	2.27
"24"	11.3	58.45	3.07	2.78	3.52	2.33	5.08	0.84	3.8	3.04	3.65	0.16	1.98	0
"25"	83.28	0	0.96	0.65	1.35	0.56	0.46	0.36	0.92	0.9	1.65	0.61	0.56	7.73
"26"	35.16	0.97	6.38	6.33	6.02	6.16	4.86	4.81	6.6	5.71	5.43	3.95	5.32	2.29
"27"	7.37	32.38	1.39	1.54	29.01	0.92	2.01	2.36	1.97	1.42	2.23	11.57	0.97	4.84
"28"	13.88	15.57	7.08	6.87	6.83	6.81	5.77	4.76	7.36	7.52	6.38	4.1	5.71	1.36
"29"	29.74	1.46	7.02	6.88	6.27	6.78	4.82	5.15	7.19	6.29	5.95	4.36	5.81	2.25
"30"	60.86	39.14	0	0	0	0	0	0	0	0	0	0	0	0
"31"	81.26	1.98	0.98	0.71	0.47	6.08	0	0.4	1.02	0.64	0.99	0.53	0.48	4.45
"32"	47.25	13.36	4.33	4.84	3.58	3.65	3.48	2.54	4.27	3.83	3.67	1.97	3.24	0
"33"	85.73	2.96	0	0.6	0	0	0	0	0	8.1	0.35	0	0	2.26
"34"	8.19	12.4	6.49	6.16	5.44	5.02	4.7	3.38	6.01	16.99	17.08	3.19	4.52	0.43
"35"	67.14	0	3.61	3.63	2.89	3.51	1.8	2.69	3.82	3.28	2.82	1.82	3.01	0
"36"	20.2	5.06	7.2	6.9	6.35	7.73	5.18	6.24	7.35	6.86	5.85	3.94	5.96	5.19
"37"	75.78	0	2.31	3.03	0.7	2.45	0	1.28	1.74	1.75	3.8	2.78	1.73	2.66
"38"	44	1.92	5.35	6.71	4.86	4.81	3.44	3.6	5.37	7.37	4.32	2.83	4.21	1.19
"39"	48.61	0.39	5.16	5.17	4.76	5	3.77	3.84	5.39	4.81	4.43	3.02	4.3	1.35
"40"	34.15	1.54	4.24	4.05	8.62	4.26	0.99	3.03	4.48	7.8	2.96	0.85	3.45	19.58
"41"	24.94	3.28	7.4	7.23	6.63	7.03	4.71	5.38	7.59	6.54	6.08	4.54	6.18	2.46
"42"	11.71	33.61	4.36	4.26	6.85	10.22	2.9	2.64	5.29	3.75	4.82	4.36	3.76	1.47
"43"	21.02	9.52	4.69	4.58	4.25	29.15	1.83	3.96	5	4.02	3.44	2.54	4.17	1.83
"44"	12.91	84.81	0	0	0	0	0.5	0	0	1.79	0	0	0	0
"45"	61.91	0.04	3.2	3.62	2.94	2.87	1.37	2.2	3.34	3.05	4.36	3.27	2.76	5.07
"46"	4.92	65.19	0.62	0.97	4.46	0	1.43	0	0.66	18.25	2.86	0.64	0	0
"47"	44.95	11.3	3.99	3.93	3.6	3.7	5.59	2.75	4.24	4.55	3.57	1.92	3.2	2.7
"48"	60.03	0	4.16	4.18	3.55	4.13	2.2	3.45	4.39	3.78	3.33	2.29	3.96	0.53
"49"	39.88	13.05	4.21	3.29	2.21	3.99	0	2.87	3.76	4.51	1.94	8.82	4.44	7.03
"50"	34.37	0.95	6.36	6.11	5.58	6.23	4.59	4.61	6.46	5.65	5.32	4.13	5.19	4.46
"51"	36.71	1.69	6.26	6.12	5.95	6.04	4.46	4.67	6.44	5.55	5.28	3.7	5.15	1.99
"52"	51.1	0	5.13	5.08	4.24	4.98	3.37	3.76	5.32	4.61	4.3	2.87	4.24	0.98
"53"	90.68	7.89	0	0	0	0	0	0	0	0	0	0	0	1.43
"54"	84.59	0	0	0	0.83	0	0	0	0	0	0	0	0	14.59
"55"	26.76	31.13	4.64	4.09	4.17	4.58	3.84	3.03	4.62	3.57	3.85	2.03	3.41	0.29
"56"	89.79	0	1.06	0.86	1.1	2.06	0	0.48	1	0.71	1.45	0	0.63	0.87
"57"	88.22	0	1.38	0.99	1.07	0.95	0	0.93	1.13	1.71	0.9	0.67	0.82	1.24
